variable,indicador,bloque,direccion,lectura,fortaleza_signo,fundamento_financiero,sensibilidad_especifica,original,cobertura,cobertura_pct,incluir
liq_disp_oblig_cp,Disponibilidades / Oblig. Corto Plazo,liquidez,-1,NA,Alta,Mayor disponibilidad relativa a obligaciones de corto plazo aumenta la capacidad inmediata de pago; por ello reduce vulnerabilidad.,FALSE,Disponibilidades/Oblig.a Corto Plazo,1,100,TRUE
liq_disp_inv_oblig_cp,(Disp. + Inv. Temp.) / Oblig. Corto Plazo,liquidez,-1,NA,Alta,Mayor cobertura de obligaciones de corto plazo mediante disponibilidades e inversiones temporarias amplía el colchón líquido.,FALSE,Disponib.+Inv.Temp./Oblig.a Corto Plazo,1,100,TRUE
liq_disp_inv_pasivo,(Disp. + Inv. Temp.) / Pasivo Total,liquidez,-1,NA,Alta,Una mayor proporción de activos líquidos/temporarios frente al pasivo total mejora la capacidad de respuesta ante salidas de fondos.,FALSE,Disponib.+Inv.Temp./Pasivo,1,100,TRUE
liq_disp_inv_activo,(Disp. + Inv. Temp.) / Activo Total,liquidez,-1,NA,Alta,Una mayor fracción del activo en disponibilidades e inversiones temporarias incrementa la liquidez del balance.,FALSE,Disponibilidades+Inv.Temporarias/Activo,1,100,TRUE
fon_oblig_publico_emp_paspat,Oblig. Público + Emp. Públicas / (Pas. + Pat.),fondeo,1,NA,Media,Una mayor dependencia agregada de obligaciones con público y empresas públicas puede aumentar concentración/dependencia de fondeo; su estabilidad depende de composición y vencimiento.,TRUE,Oblig.con el Público y con Empresas Públicas/Pasivo+Patrimonio,1,100,TRUE
fon_oblig_publico_paspat,Oblig. con el Público / (Pas. + Pat.),fondeo,1,NA,Media,"La participación total de depósitos/obligaciones con el público no es adversa por sí misma: su riesgo depende de estabilidad, concentración y plazo. Se conserva como señal estructural y se exige sensibilidad.",TRUE,Oblig.con el Público/Pasivo+Patrimonio,1,100,TRUE
fon_oblig_bancos_paspat,Oblig. con Bancos y Ent. Fin. / (Pas. + Pat.),fondeo,1,NA,Alta,Una mayor dependencia de fondeo bancario/interfinanciero aproxima el balance a fuentes mayoristas potencialmente más sensibles a condiciones de mercado.,FALSE,Oblig.con Bancos y Ent. Fin./Pasivo+Patrimonio,1,100,TRUE
fon_oblig_subordinadas_paspat,Obligaciones Subordinadas / (Pas. + Pat.),fondeo,-1,NA,Media-Alta,"El fondeo subordinado suele tener horizonte contractual más largo y mayor estabilidad relativa de financiación, aunque no sustituye liquidez inmediata.",FALSE,Obligaciones Subordinadas/Pasivo+Patrimonio,1,100,TRUE
fon_juridicas_institucionales,Oblig. Personas Jurídicas e Institucionales / Total Oblig.,fondeo,1,NA,Alta,Una mayor participación de personas jurídicas/institucionales aproxima la base de depósitos a fondeo corporativo potencialmente menos granular y más sensible a retiros concentrados.,FALSE,Oblig. Pers. Jurídicas e Institucionales /Total Oblig. Publico,1,100,TRUE
fon_personas_naturales,Oblig. Personas Naturales / Total Oblig. Público,fondeo,-1,NA,Alta,Una mayor participación de personas naturales aproxima la estructura a depósitos minoristas más granulares; se interpreta como mayor estabilidad relativa del fondeo.,FALSE,Oblig. Personas. Naturales /Total Oblig. Publico,1,100,TRUE
fon_dias_permanencia_dpf,Días de Permanencia Promedio de DPF,fondeo,-1,NA,Alta,Una mayor permanencia de depósitos a plazo reduce presión de refinanciación de corto plazo y mejora estabilidad temporal del fondeo.,FALSE,Días de permanencia de los depósitos a plazo fijo,1,100,TRUE
act_disp_activo,Disponibilidades / Activo Total,activos,-1,NA,Alta,Mayor peso de disponibilidades dentro del activo aumenta capacidad de monetización inmediata y reduce vulnerabilidad de liquidez.,FALSE,Disponibilidades / Activos,1,100,TRUE
act_cartera_neta_activo,Cartera Neta / Activo Total,activos,1,NA,Alta,Una mayor concentración del activo en cartera crediticia incrementa la proporción de activos menos líquidos y dependientes de cobros contractuales.,FALSE,Cartera Neta / Activo,1,100,TRUE
act_productivo_actcont,Activo Productivo / (Activo + Contingente),activos,-1,NA,Media,"Un mayor activo productivo puede mejorar generación de ingresos, pero productivo no equivale necesariamente a líquido; el signo protector es una hipótesis de estructura del balance y requiere sensibilidad.",TRUE,Activo Productivo/Activo+Contingente,1,100,TRUE
act_improductivo_patrimonio,Activo Improductivo / Patrimonio,activos,1,NA,Media-Alta,Un mayor activo improductivo respecto al patrimonio reduce flexibilidad del balance y puede elevar necesidades de financiación/absorción.,FALSE,Activo Improductivo/Patrimonio,1,100,TRUE
car_reprogramada_cartera,Cartera Reprog. o Reestruct. / Cartera Total,cartera,1,NA,Alta,Una mayor cartera reprogramada/restructurada indica mayor incertidumbre sobre flujos contractuales y potencial presión sobre entradas de caja.,FALSE,Cartera Reprogramada o Reestructurada/ Cartera,1,100,TRUE
car_mora_cartera,Cartera Vencida y Ejecución / Cartera Total,cartera,1,NA,Alta,Mayor mora reduce la realización esperada de flujos de caja de la cartera y eleva la vulnerabilidad financiera vinculada a liquidez.,FALSE,Cartera Vencida Total+Ejecución Total /Cartera,1,100,TRUE
car_reprog_venc_ejec,Cartera Reprog. Vencida y Ejec. / Cartera Reprog.,cartera,1,NA,Alta,Mayor deterioro dentro de la cartera reprogramada implica menor recuperación esperada de flujos; su dinámica empírica distinta se controla con leave-one-out.,FALSE,Cartera Reprog. o Reestruct. Vencida y Ejec./ Cartera Reprog. o Reestruct. Total,1,100,TRUE
car_prev_incobrable,Previsión Cartera Incobrable / Cartera Total,cartera,1,NA,Media,"Más previsiones sobre cartera pueden reflejar mayor deterioro crediticio reconocido, aunque simultáneamente constituyen un colchón contable; se usa como señal de deterioro y exige sensibilidad.",TRUE,Prev.Cartera Incobrable/Cartera,1,100,TRUE
car_categoria_f,Cartera Categoría F (previsión 100%) / Cartera,cartera,1,NA,Alta,Mayor participación de cartera con requerimiento de previsión del 100% refleja deterioro crediticio severo y menor expectativa de recuperación de flujos.,FALSE,F Cartera con Requerimiento de Previsión del 100%,0.9583333333333334,95.8,TRUE
solv_patrimonio_activo,Patrimonio / Activo Total,solvencia,-1,NA,Alta,Mayor patrimonio relativo al activo amplía capacidad de absorción de pérdidas y sostiene confianza/acceso a fondeo; reduce vulnerabilidad.,FALSE,Patrimonio/Activo,1,100,TRUE
solv_patrimonio_actcont,Patrimonio / (Activo + Contingente),solvencia,-1,NA,Alta,Mayor patrimonio frente a activos y contingentes fortalece capacidad de absorción ante shocks y reduce vulnerabilidad.,FALSE,Patrimonio/Activo+Contingente,1,100,TRUE
