"Dimensión","Indicador","d_i","Cobertura (%)","Peso interno","Peso dimensión","Peso jerárquico nominal","Coef. analítico","Fortaleza del signo","Signo sensible","Fundamento financiero"
"Liquidez","Disponibilidades / Oblig. Corto Plazo",-1,100,0.25,0.2,0.05,0.0567,"Alta","No","Mayor disponibilidad relativa a obligaciones de corto plazo aumenta la capacidad inmediata de pago; por ello reduce vulnerabilidad."
"Liquidez","(Disp. + Inv. Temp.) / Oblig. Corto Plazo",-1,100,0.25,0.2,0.05,0.0567,"Alta","No","Mayor cobertura de obligaciones de corto plazo mediante disponibilidades e inversiones temporarias amplía el colchón líquido."
"Liquidez","(Disp. + Inv. Temp.) / Pasivo Total",-1,100,0.25,0.2,0.05,0.0567,"Alta","No","Una mayor proporción de activos líquidos/temporarios frente al pasivo total mejora la capacidad de respuesta ante salidas de fondos."
"Liquidez","(Disp. + Inv. Temp.) / Activo Total",-1,100,0.25,0.2,0.05,0.0567,"Alta","No","Una mayor fracción del activo en disponibilidades e inversiones temporarias incrementa la liquidez del balance."
"Fondeo","Oblig. Público + Emp. Públicas / (Pas. + Pat.)",1,100,0.1429,0.2,0.0286,0.0704,"Media","Sí","Una mayor dependencia agregada de obligaciones con público y empresas públicas puede aumentar concentración/dependencia de fondeo; su estabilidad depende de composición y vencimiento."
"Fondeo","Oblig. con el Público / (Pas. + Pat.)",1,100,0.1429,0.2,0.0286,0.0704,"Media","Sí","La participación total de depósitos/obligaciones con el público no es adversa por sí misma: su riesgo depende de estabilidad, concentración y plazo. Se conserva como señal estructural y se exige sensibilidad."
"Fondeo","Oblig. con Bancos y Ent. Fin. / (Pas. + Pat.)",1,100,0.1429,0.2,0.0286,0.0704,"Alta","No","Una mayor dependencia de fondeo bancario/interfinanciero aproxima el balance a fuentes mayoristas potencialmente más sensibles a condiciones de mercado."
"Fondeo","Obligaciones Subordinadas / (Pas. + Pat.)",-1,100,0.1429,0.2,0.0286,0.0704,"Media-Alta","No","El fondeo subordinado suele tener horizonte contractual más largo y mayor estabilidad relativa de financiación, aunque no sustituye liquidez inmediata."
"Fondeo","Oblig. Personas Jurídicas e Institucionales / Total Oblig.",1,100,0.1429,0.2,0.0286,0.0704,"Alta","No","Una mayor participación de personas jurídicas/institucionales aproxima la base de depósitos a fondeo corporativo potencialmente menos granular y más sensible a retiros concentrados."
"Fondeo","Oblig. Personas Naturales / Total Oblig. Público",-1,100,0.1429,0.2,0.0286,0.0704,"Alta","No","Una mayor participación de personas naturales aproxima la estructura a depósitos minoristas más granulares; se interpreta como mayor estabilidad relativa del fondeo."
"Fondeo","Días de Permanencia Promedio de DPF",-1,100,0.1429,0.2,0.0286,0.0704,"Alta","No","Una mayor permanencia de depósitos a plazo reduce presión de refinanciación de corto plazo y mejora estabilidad temporal del fondeo."
"Activos","Disponibilidades / Activo Total",-1,100,0.25,0.2,0.05,0.1316,"Alta","No","Mayor peso de disponibilidades dentro del activo aumenta capacidad de monetización inmediata y reduce vulnerabilidad de liquidez."
"Activos","Cartera Neta / Activo Total",1,100,0.25,0.2,0.05,0.1316,"Alta","No","Una mayor concentración del activo en cartera crediticia incrementa la proporción de activos menos líquidos y dependientes de cobros contractuales."
"Activos","Activo Productivo / (Activo + Contingente)",-1,100,0.25,0.2,0.05,0.1316,"Media","Sí","Un mayor activo productivo puede mejorar generación de ingresos, pero productivo no equivale necesariamente a líquido; el signo protector es una hipótesis de estructura del balance y requiere sensibilidad."
"Activos","Activo Improductivo / Patrimonio",1,100,0.25,0.2,0.05,0.1316,"Media-Alta","No","Un mayor activo improductivo respecto al patrimonio reduce flexibilidad del balance y puede elevar necesidades de financiación/absorción."
"Cartera","Cartera Reprog. o Reestruct. / Cartera Total",1,100,0.2,0.2,0.04,0.0567,"Alta","No","Una mayor cartera reprogramada/restructurada indica mayor incertidumbre sobre flujos contractuales y potencial presión sobre entradas de caja."
"Cartera","Cartera Vencida y Ejecución / Cartera Total",1,100,0.2,0.2,0.04,0.0567,"Alta","No","Mayor mora reduce la realización esperada de flujos de caja de la cartera y eleva la vulnerabilidad financiera vinculada a liquidez."
"Cartera","Cartera Reprog. Vencida y Ejec. / Cartera Reprog.",1,100,0.2,0.2,0.04,0.0567,"Alta","No","Mayor deterioro dentro de la cartera reprogramada implica menor recuperación esperada de flujos; su dinámica empírica distinta se controla con leave-one-out."
"Cartera","Previsión Cartera Incobrable / Cartera Total",1,100,0.2,0.2,0.04,0.0567,"Media","Sí","Más previsiones sobre cartera pueden reflejar mayor deterioro crediticio reconocido, aunque simultáneamente constituyen un colchón contable; se usa como señal de deterioro y exige sensibilidad."
"Cartera","Cartera Categoría F (previsión 100%) / Cartera",1,95.8,0.2,0.2,0.04,0.0567,"Alta","No","Mayor participación de cartera con requerimiento de previsión del 100% refleja deterioro crediticio severo y menor expectativa de recuperación de flujos."
"Solvencia","Patrimonio / Activo Total",-1,100,0.2,0.2,0.04,0.0489,"Alta","No","Mayor patrimonio relativo al activo amplía capacidad de absorción de pérdidas y sostiene confianza/acceso a fondeo; reduce vulnerabilidad."
"Solvencia","Patrimonio / (Activo + Contingente)",-1,100,0.2,0.2,0.04,0.0489,"Alta","No","Mayor patrimonio frente a activos y contingentes fortalece capacidad de absorción ante shocks y reduce vulnerabilidad."
"Solvencia","Coeficiente de Adecuación Patrimonial (CAP)",-1,100,0.2,0.2,0.04,0.0489,"Alta","No","Mayor suficiencia patrimonial incrementa capacidad de absorción y resiliencia; se orienta como factor protector."
"Solvencia","(Cartera Vencida + Ejecución) / Patrimonio",1,100,0.2,0.2,0.04,0.0489,"Alta","No","Mayor mora relativa al patrimonio consume capacidad de absorción y puede deteriorar confianza y acceso a fondeo."
"Solvencia","(Cartera Vencida + Ejecución – Prev.) / Patrimonio",1,100,0.2,0.2,0.04,0.0489,"Alta","No","Mayor mora neta de previsiones respecto al patrimonio implica mayor exposición residual de pérdidas frente al colchón patrimonial."
