"variable","indicador","bloque","direccion","lectura","fortaleza_signo","fundamento_financiero","sensibilidad_especifica"
"liq_disp_oblig_cp","Disponibilidades / Oblig. Corto Plazo","liquidez",-1,,"Alta","Mayor disponibilidad relativa a obligaciones de corto plazo aumenta la capacidad inmediata de pago; por ello reduce vulnerabilidad.",FALSE
"liq_disp_inv_oblig_cp","(Disp. + Inv. Temp.) / Oblig. Corto Plazo","liquidez",-1,,"Alta","Mayor cobertura de obligaciones de corto plazo mediante disponibilidades e inversiones temporarias amplía el colchón líquido.",FALSE
"liq_disp_inv_pasivo","(Disp. + Inv. Temp.) / Pasivo Total","liquidez",-1,,"Alta","Una mayor proporción de activos líquidos/temporarios frente al pasivo total mejora la capacidad de respuesta ante salidas de fondos.",FALSE
"liq_disp_inv_activo","(Disp. + Inv. Temp.) / Activo Total","liquidez",-1,,"Alta","Una mayor fracción del activo en disponibilidades e inversiones temporarias incrementa la liquidez del balance.",FALSE
"fon_oblig_publico_emp_paspat","Oblig. Público + Emp. Públicas / (Pas. + Pat.)","fondeo",1,,"Media","Una mayor dependencia agregada de obligaciones con público y empresas públicas puede aumentar concentración/dependencia de fondeo; su estabilidad depende de composición y vencimiento.",TRUE
"fon_oblig_publico_paspat","Oblig. con el Público / (Pas. + Pat.)","fondeo",1,,"Media","La participación total de depósitos/obligaciones con el público no es adversa por sí misma: su riesgo depende de estabilidad, concentración y plazo. Se conserva como señal estructural y se exige sensibilidad.",TRUE
"fon_oblig_bancos_paspat","Oblig. con Bancos y Ent. Fin. / (Pas. + Pat.)","fondeo",1,,"Alta","Una mayor dependencia de fondeo bancario/interfinanciero aproxima el balance a fuentes mayoristas potencialmente más sensibles a condiciones de mercado.",FALSE
"fon_oblig_subordinadas_paspat","Obligaciones Subordinadas / (Pas. + Pat.)","fondeo",-1,,"Media-Alta","El fondeo subordinado suele tener horizonte contractual más largo y mayor estabilidad relativa de financiación, aunque no sustituye liquidez inmediata.",FALSE
"fon_juridicas_institucionales","Oblig. Personas Jurídicas e Institucionales / Total Oblig.","fondeo",1,,"Alta","Una mayor participación de personas jurídicas/institucionales aproxima la base de depósitos a fondeo corporativo potencialmente menos granular y más sensible a retiros concentrados.",FALSE
"fon_personas_naturales","Oblig. Personas Naturales / Total Oblig. Público","fondeo",-1,,"Alta","Una mayor participación de personas naturales aproxima la estructura a depósitos minoristas más granulares; se interpreta como mayor estabilidad relativa del fondeo.",FALSE
"fon_dias_permanencia_dpf","Días de Permanencia Promedio de DPF","fondeo",-1,,"Alta","Una mayor permanencia de depósitos a plazo reduce presión de refinanciación de corto plazo y mejora estabilidad temporal del fondeo.",FALSE
"act_disp_activo","Disponibilidades / Activo Total","activos",-1,,"Alta","Mayor peso de disponibilidades dentro del activo aumenta capacidad de monetización inmediata y reduce vulnerabilidad de liquidez.",FALSE
"act_cartera_neta_activo","Cartera Neta / Activo Total","activos",1,,"Alta","Una mayor concentración del activo en cartera crediticia incrementa la proporción de activos menos líquidos y dependientes de cobros contractuales.",FALSE
"act_productivo_actcont","Activo Productivo / (Activo + Contingente)","activos",-1,,"Media","Un mayor activo productivo puede mejorar generación de ingresos, pero productivo no equivale necesariamente a líquido; el signo protector es una hipótesis de estructura del balance y requiere sensibilidad.",TRUE
"act_improductivo_patrimonio","Activo Improductivo / Patrimonio","activos",1,,"Media-Alta","Un mayor activo improductivo respecto al patrimonio reduce flexibilidad del balance y puede elevar necesidades de financiación/absorción.",FALSE
"car_reprogramada_cartera","Cartera Reprog. o Reestruct. / Cartera Total","cartera",1,,"Alta","Una mayor cartera reprogramada/restructurada indica mayor incertidumbre sobre flujos contractuales y potencial presión sobre entradas de caja.",FALSE
"car_mora_cartera","Cartera Vencida y Ejecución / Cartera Total","cartera",1,,"Alta","Mayor mora reduce la realización esperada de flujos de caja de la cartera y eleva la vulnerabilidad financiera vinculada a liquidez.",FALSE
"car_reprog_venc_ejec","Cartera Reprog. Vencida y Ejec. / Cartera Reprog.","cartera",1,,"Alta","Mayor deterioro dentro de la cartera reprogramada implica menor recuperación esperada de flujos; su dinámica empírica distinta se controla con leave-one-out.",FALSE
"car_prev_incobrable","Previsión Cartera Incobrable / Cartera Total","cartera",1,,"Media","Más previsiones sobre cartera pueden reflejar mayor deterioro crediticio reconocido, aunque simultáneamente constituyen un colchón contable; se usa como señal de deterioro y exige sensibilidad.",TRUE
"car_categoria_f","Cartera Categoría F (previsión 100%) / Cartera","cartera",1,,"Alta","Mayor participación de cartera con requerimiento de previsión del 100% refleja deterioro crediticio severo y menor expectativa de recuperación de flujos.",FALSE
"solv_patrimonio_activo","Patrimonio / Activo Total","solvencia",-1,,"Alta","Mayor patrimonio relativo al activo amplía capacidad de absorción de pérdidas y sostiene confianza/acceso a fondeo; reduce vulnerabilidad.",FALSE
"solv_patrimonio_actcont","Patrimonio / (Activo + Contingente)","solvencia",-1,,"Alta","Mayor patrimonio frente a activos y contingentes fortalece capacidad de absorción ante shocks y reduce vulnerabilidad.",FALSE
"solv_cap","Coeficiente de Adecuación Patrimonial (CAP)","solvencia",-1,,"Alta","Mayor suficiencia patrimonial incrementa capacidad de absorción y resiliencia; se orienta como factor protector.",FALSE
"solv_mora_patrimonio","(Cartera Vencida + Ejecución) / Patrimonio","solvencia",1,,"Alta","Mayor mora relativa al patrimonio consume capacidad de absorción y puede deteriorar confianza y acceso a fondeo.",FALSE
"solv_mora_neta_patrimonio","(Cartera Vencida + Ejecución – Prev.) / Patrimonio","solvencia",1,,"Alta","Mayor mora neta de previsiones respecto al patrimonio implica mayor exposición residual de pérdidas frente al colchón patrimonial.",FALSE
